uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION
http://www.wikidata.org/entity/Q5539301,George Fitzhugh,1806,male,Prince William County,POINT (-77.48 38.7),http://www.wikidata.org/entity/Q183263,1801-1810,23,Northern America
http://www.wikidata.org/entity/Q5400003,Adolphe Hugentobler,1810,male,Cortaillod,POINT (6.84793 46.94399),http://www.wikidata.org/entity/Q70308,1801-1810,22,Western Europe
http://www.wikidata.org/entity/Q1031841,Constantin Pecqueur,1801,male,Arleux,POINT (3.106389 50.280278),http://www.wikidata.org/entity/Q61573,1801-1810,22,Western Europe
http://www.wikidata.org/entity/Q452627,Pierre Guillaume Frédéric le Play,1806,male,La Rivière-Saint-Sauveur,POINT (0.271389 49.407222),http://www.wikidata.org/entity/Q383959,1801-1810,22,Western Europe
http://www.wikidata.org/entity/Q234570,Harriet Martineau,1802,female,Norwich,POINT (1.292778 52.628611),http://www.wikidata.org/entity/Q130191,1801-1810,24,Northern Europe
http://www.wikidata.org/entity/Q6320673,Józef Supiński,1804,male,Romaniv,POINT (24.341389 49.709445),http://www.wikidata.org/entity/Q4397209,1801-1810,8,Eastern Europe
http://www.wikidata.org/entity/Q358497,Alexei Khomyakov,1804,male,Moscow,POINT (37.6175 55.750556),http://www.wikidata.org/entity/Q649,1801-1810,9,European Russia
http://www.wikidata.org/entity/Q140694,Alexis de Tocqueville,1805,male,Paris,POINT (2.352222 48.856667),http://www.wikidata.org/entity/Q90,1801-1810,22,Western Europe
http://www.wikidata.org/entity/Q21096543,Félix Delhasse,1809,male,Spa,POINT (5.86221 50.492277),http://www.wikidata.org/entity/Q39865,1801-1810,22,Western Europe
http://www.wikidata.org/entity/Q5749,Pierre-Joseph Proudhon,1809,male,Besançon,POINT (6.021389 47.242222),http://www.wikidata.org/entity/Q37776,1801-1810,22,Western Europe
http://www.wikidata.org/entity/Q1319570,Eugène Buret,1810,male,Troyes,POINT (4.078056 48.298889),http://www.wikidata.org/entity/Q5489,1801-1810,22,Western Europe
http://www.wikidata.org/entity/Q61676974,Joseph Tempier,1806,male,Aix-en-Provence,POINT (5.445556 43.527778),http://www.wikidata.org/entity/Q47465,1801-1810,22,Western Europe
http://www.wikidata.org/entity/Q3034721,Domenico Buffa,1818,male,Ovada,POINT (8.646389 44.639167),http://www.wikidata.org/entity/Q17629,1811-1820,19,Southern Europe
http://www.wikidata.org/entity/Q2993155,Konstantin Kavelin,1818,male,Saint Petersburg,POINT (30.316667 59.95),http://www.wikidata.org/entity/Q656,1811-1820,9,European Russia
http://www.wikidata.org/entity/Q555693,Timofey Granovsky,1813,male,Oryol,POINT (36.069444 52.968611),http://www.wikidata.org/entity/Q3118,1811-1820,9,European Russia
http://www.wikidata.org/entity/Q238302,Jenny von Westphalen,1814,female,Salzwedel,POINT (11.15 52.85),http://www.wikidata.org/entity/Q486985,1811-1820,22,Western Europe
http://www.wikidata.org/entity/Q3083347,François-Edme Rameau de Saint-Père,1820,male,Gien,POINT (2.625 47.698056),http://www.wikidata.org/entity/Q475599,1811-1820,22,Western Europe
http://www.wikidata.org/entity/Q3092514,Felix Liebrecht,1812,male,Namysłów,POINT (17.716764 51.076704),http://www.wikidata.org/entity/Q717774,1811-1820,8,Eastern Europe
http://www.wikidata.org/entity/Q313458,Lewis H. Morgan,1818,male,Aurora,POINT (-76.699444 42.746667),http://www.wikidata.org/entity/Q3460948,1811-1820,23,Northern America
http://www.wikidata.org/entity/Q444472,Ion Ghica,1816,male,Bucharest,POINT (26.097778 44.413361),http://www.wikidata.org/entity/Q19660,1811-1820,8,Eastern Europe
http://www.wikidata.org/entity/Q34787,Friedrich Engels,1820,male,Barmen,POINT (7.2 51.266667),http://www.wikidata.org/entity/Q153974,1811-1820,22,Western Europe
http://www.wikidata.org/entity/Q37103,Florence Nightingale,1820,female,Florence,POINT (11.254167 43.771389),http://www.wikidata.org/entity/Q2044,1811-1820,19,Southern Europe
http://www.wikidata.org/entity/Q3159109,Jacques Hippolyte Sylvestre Blanc,1820,male,Marseille,POINT (5.376389 43.296667),http://www.wikidata.org/entity/Q23482,1811-1820,22,Western Europe
http://www.wikidata.org/entity/Q123861,Johann Jakob Bachofen,1815,male,Basel,POINT (7.590555 47.560556),http://www.wikidata.org/entity/Q78,1811-1820,22,Western Europe
http://www.wikidata.org/entity/Q144535,Herbert Spencer,1820,male,Derby,POINT (-1.476667 52.921667),http://www.wikidata.org/entity/Q43475,1811-1820,24,Northern Europe
http://www.wikidata.org/entity/Q61956,Lorenz von Stein,1815,male,Borby,POINT (9.83528 54.48),http://www.wikidata.org/entity/Q893358,1811-1820,22,Western Europe
http://www.wikidata.org/entity/Q17677990,Emmanuel Parent de Curzon,1811,male,Poitiers,POINT (0.335278 46.581111),http://www.wikidata.org/entity/Q6616,1811-1820,22,Western Europe
http://www.wikidata.org/entity/Q9061,Karl Marx,1818,male,Trier,POINT (6.63935 49.75565),http://www.wikidata.org/entity/Q3138,1811-1820,22,Western Europe
http://www.wikidata.org/entity/Q93275507,Eugène de Masquard,1819,male,Nîmes,POINT (4.359722 43.838333),http://www.wikidata.org/entity/Q42807,1811-1820,22,Western Europe
