uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q5539301,George Fitzhugh,1806,male,Prince William County,POINT (-77.48 38.7),http://www.wikidata.org/entity/Q183263,23,Northern America,US,United States,United States,USA,United States Can.,1851,1846-1870
http://www.wikidata.org/entity/Q1031841,Constantin Pecqueur,1801,male,Arleux,POINT (3.106389 50.280278),http://www.wikidata.org/entity/Q61573,22,Western Europe,FR,France,France,FRA,France,1846,1846-1870
http://www.wikidata.org/entity/Q452627,Pierre Guillaume Frédéric le Play,1806,male,La Rivière-Saint-Sauveur,POINT (0.271389 49.407222),http://www.wikidata.org/entity/Q383959,22,Western Europe,FR,France,France,FRA,France,1851,1846-1870
http://www.wikidata.org/entity/Q234570,Harriet Martineau,1802,female,Norwich,POINT (1.292778 52.628611),http://www.wikidata.org/entity/Q130191,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1847,1846-1870
http://www.wikidata.org/entity/Q358497,Alexei Khomyakov,1804,male,Moscow,POINT (37.6175 55.750556),http://www.wikidata.org/entity/Q649,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1849,1846-1870
http://www.wikidata.org/entity/Q140694,Alexis de Tocqueville,1805,male,Paris,POINT (2.352222 48.856667),http://www.wikidata.org/entity/Q90,22,Western Europe,FR,France,France,FRA,France,1850,1846-1870
http://www.wikidata.org/entity/Q21096543,Félix Delhasse,1809,male,Spa,POINT (5.86221 50.492277),http://www.wikidata.org/entity/Q39865,22,Western Europe,BE,Belgien-Belgique-België,Belgium,BEL,Belgium Netherl.,1854,1846-1870
http://www.wikidata.org/entity/Q5749,Pierre-Joseph Proudhon,1809,male,Besançon,POINT (6.021389 47.242222),http://www.wikidata.org/entity/Q37776,22,Western Europe,FR,France,France,FRA,France,1854,1846-1870
http://www.wikidata.org/entity/Q1319570,Eugène Buret,1810,male,Troyes,POINT (4.078056 48.298889),http://www.wikidata.org/entity/Q5489,22,Western Europe,FR,France,France,FRA,France,1855,1846-1870
http://www.wikidata.org/entity/Q61676974,Joseph Tempier,1806,male,Aix-en-Provence,POINT (5.445556 43.527778),http://www.wikidata.org/entity/Q47465,22,Western Europe,FR,France,France,FRA,France,1851,1846-1870
http://www.wikidata.org/entity/Q3034721,Domenico Buffa,1818,male,Ovada,POINT (8.646389 44.639167),http://www.wikidata.org/entity/Q17629,19,Southern Europe,IT,Italia,Italy,ITA,Italy,1863,1846-1870
http://www.wikidata.org/entity/Q2993155,Konstantin Kavelin,1818,male,Saint Petersburg,POINT (30.316667 59.95),http://www.wikidata.org/entity/Q656,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1863,1846-1870
http://www.wikidata.org/entity/Q555693,Timofey Granovsky,1813,male,Oryol,POINT (36.069444 52.968611),http://www.wikidata.org/entity/Q3118,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1858,1846-1870
http://www.wikidata.org/entity/Q238302,Jenny von Westphalen,1814,female,Salzwedel,POINT (11.15 52.85),http://www.wikidata.org/entity/Q486985,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1859,1846-1870
http://www.wikidata.org/entity/Q3083347,François-Edme Rameau de Saint-Père,1820,male,Gien,POINT (2.625 47.698056),http://www.wikidata.org/entity/Q475599,22,Western Europe,FR,France,France,FRA,France,1865,1846-1870
http://www.wikidata.org/entity/Q3092514,Felix Liebrecht,1812,male,Namysłów,POINT (17.716764 51.076704),http://www.wikidata.org/entity/Q717774,8,Eastern Europe,PL,Polska,Poland,POL,Poland,1857,1846-1870
http://www.wikidata.org/entity/Q313458,Lewis H. Morgan,1818,male,Aurora,POINT (-76.699444 42.746667),http://www.wikidata.org/entity/Q3460948,23,Northern America,US,United States,United States,USA,United States Can.,1863,1846-1870
http://www.wikidata.org/entity/Q444472,Ion Ghica,1816,male,Bucharest,POINT (26.097778 44.413361),http://www.wikidata.org/entity/Q19660,8,Eastern Europe,RO,România,Romania,ROU,Central Europe,1861,1846-1870
http://www.wikidata.org/entity/Q34787,Friedrich Engels,1820,male,Barmen,POINT (7.2 51.266667),http://www.wikidata.org/entity/Q153974,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1865,1846-1870
http://www.wikidata.org/entity/Q37103,Florence Nightingale,1820,female,Florence,POINT (11.254167 43.771389),http://www.wikidata.org/entity/Q2044,19,Southern Europe,IT,Italia,Italy,ITA,Italy,1865,1846-1870
http://www.wikidata.org/entity/Q3159109,Jacques Hippolyte Sylvestre Blanc,1820,male,Marseille,POINT (5.376389 43.296667),http://www.wikidata.org/entity/Q23482,22,Western Europe,FR,France,France,FRA,France,1865,1846-1870
http://www.wikidata.org/entity/Q144535,Herbert Spencer,1820,male,Derby,POINT (-1.476667 52.921667),http://www.wikidata.org/entity/Q43475,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1865,1846-1870
http://www.wikidata.org/entity/Q61956,Lorenz von Stein,1815,male,Borby,POINT (9.83528 54.48),http://www.wikidata.org/entity/Q893358,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1860,1846-1870
http://www.wikidata.org/entity/Q17677990,Emmanuel Parent de Curzon,1811,male,Poitiers,POINT (0.335278 46.581111),http://www.wikidata.org/entity/Q6616,22,Western Europe,FR,France,France,FRA,France,1856,1846-1870
http://www.wikidata.org/entity/Q9061,Karl Marx,1818,male,Trier,POINT (6.63935 49.75565),http://www.wikidata.org/entity/Q3138,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1863,1846-1870
http://www.wikidata.org/entity/Q93275507,Eugène de Masquard,1819,male,Nîmes,POINT (4.359722 43.838333),http://www.wikidata.org/entity/Q42807,22,Western Europe,FR,France,France,FRA,France,1864,1846-1870
http://www.wikidata.org/entity/Q179126,John Ruskin,1819,male,London,POINT (-0.1275 51.507222),http://www.wikidata.org/entity/Q84,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1864,1846-1870
http://www.wikidata.org/entity/Q1195523,Henry James Sumner Maine,1822,male,Kelso,POINT (-2.4336 55.5985),http://www.wikidata.org/entity/Q654945,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1867,1846-1870
http://www.wikidata.org/entity/Q1803058,Roberto Ardigò,1828,male,Casteldidone,POINT (10.4 45.066667),http://www.wikidata.org/entity/Q42837,19,Southern Europe,IT,Italia,Italy,ITA,Italy,1873,1871-1895
http://www.wikidata.org/entity/Q191026,Francis Galton,1822,male,Sparkbrook,POINT (-1.8712 52.462),http://www.wikidata.org/entity/Q2593284,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1867,1846-1870
http://www.wikidata.org/entity/Q120664,Nikolay Danilevsky,1822,male,Livenskiy Uyezd,POINT (37.6 52.416667),http://www.wikidata.org/entity/Q4260978,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1867,1846-1870
http://www.wikidata.org/entity/Q401209,Ahmet Cevdet Pasha,1822,male,Lovech,POINT (24.711535 43.134777),http://www.wikidata.org/entity/Q189328,8,Eastern Europe,BG,България,Bulgaria,BGR,Central Europe,1867,1846-1870
http://www.wikidata.org/entity/Q3968193,Stanislao Solari,1829,male,Genoa,POINT (8.933983 44.407186),http://www.wikidata.org/entity/Q1449,19,Southern Europe,IT,Italia,Italy,ITA,Italy,1874,1871-1895
http://www.wikidata.org/entity/Q337628,Pyotr Lavrov,1823,male,Melekhovo,POINT (29.46278 56.87861),http://www.wikidata.org/entity/Q18790174,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1868,1846-1870
http://www.wikidata.org/entity/Q61897268,Charles Robert,1827,male,Mulhouse,POINT (7.339167 47.748611),http://www.wikidata.org/entity/Q79815,22,Western Europe,FR,France,France,FRA,France,1872,1871-1895
http://www.wikidata.org/entity/Q369022,Walter Bagehot,1826,male,Langport,POINT (-2.827453 51.037625),http://www.wikidata.org/entity/Q784252,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1871,1871-1895
http://www.wikidata.org/entity/Q5819554,Eduardo Pérez Pujol,1830,male,Salamanca,POINT (-5.664167 40.965),http://www.wikidata.org/entity/Q15695,19,Southern Europe,ES,España,Spain,ESP,Spain Port.,1875,1871-1895
http://www.wikidata.org/entity/Q18331027,Henry Hughes,1829,male,Port Gibson,POINT (-90.9831 31.9561),http://www.wikidata.org/entity/Q2005276,23,Northern America,US,United States,United States,USA,United States Can.,1874,1871-1895
http://www.wikidata.org/entity/Q12158262,A. I.  Stronin,1826,male,Kursk Governorate,POINT (36.183333 51.716667),http://www.wikidata.org/entity/Q2530893,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1871,1871-1895
http://www.wikidata.org/entity/Q6220990,John Bascom,1827,male,Genoa,POINT (-76.533333 42.666667),http://www.wikidata.org/entity/Q3710630,23,Northern America,US,United States,United States,USA,United States Can.,1872,1871-1895
http://www.wikidata.org/entity/Q18608568,Adolphe Focillon,1823,male,Paris,POINT (2.352222 48.856667),http://www.wikidata.org/entity/Q90,22,Western Europe,FR,France,France,FRA,France,1868,1846-1870
http://www.wikidata.org/entity/Q61674,Friedrich Albert Lange,1828,male,Wald,POINT (7.04222 51.1817),http://www.wikidata.org/entity/Q2541035,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1873,1871-1895
