"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
1,http://www.wikidata.org/entity/Q1000087,,university-teacher,NA,NA,NA,NA,1,
2,http://www.wikidata.org/entity/Q1000348,,university-teacher,NA,NA,NA,NA,2,
3,http://www.wikidata.org/entity/Q1000622,,university-teacher,NA,sociology,social-stratification,social-exclusion,3,
4,http://www.wikidata.org/entity/Q100138682,,NA,NA,NA,NA,NA,4,
5,http://www.wikidata.org/entity/Q100144803,,NA,NA,NA,NA,NA,5,
6,http://www.wikidata.org/entity/Q100146726,,NA,NA,NA,NA,NA,6,
7,http://www.wikidata.org/entity/Q100149431,,NA,NA,sociology,NA,NA,7,
8,http://www.wikidata.org/entity/Q100156655,,politician,NA,ethnography,NA,NA,8,
9,http://www.wikidata.org/entity/Q1002184,,university-teacher,NA,NA,NA,NA,9,
10,http://www.wikidata.org/entity/Q100229849,,writer,NA,NA,NA,NA,10,
11,http://www.wikidata.org/entity/Q100250029,,educator,NA,sociology,education,multimedia,11,
12,http://www.wikidata.org/entity/Q100253040,,university-teacher,NA,sociology,social-change,education-policy,12,
13,http://www.wikidata.org/entity/Q100256450,,NA,NA,NA,NA,NA,13,
14,http://www.wikidata.org/entity/Q100273083,,journalist,NA,sociology,economics,journalism,14,
15,http://www.wikidata.org/entity/Q1002940,,NA,NA,NA,NA,NA,15,
16,http://www.wikidata.org/entity/Q100318551,,university-teacher,NA,NA,NA,NA,16,
17,http://www.wikidata.org/entity/Q100324178,,lawyer,NA,NA,NA,NA,17,
18,http://www.wikidata.org/entity/Q100328765,,university-teacher,NA,NA,NA,NA,18,
19,http://www.wikidata.org/entity/Q1003573,,journalist,NA,NA,NA,NA,19,
20,http://www.wikidata.org/entity/Q100366657,,political-scientist,NA,NA,NA,NA,20,
21,http://www.wikidata.org/entity/Q100375832,,translator,NA,sociology,german-studies,translation,21,
22,http://www.wikidata.org/entity/Q100383628,,NA,NA,sociology,NA,NA,22,
23,http://www.wikidata.org/entity/Q100400535,,university-teacher,NA,sociology,gender,NA,23,
24,http://www.wikidata.org/entity/Q100401228,,NA,NA,NA,NA,NA,24,
25,http://www.wikidata.org/entity/Q100415916,,psychologist,NA,sociology,pedagogy,educational-psychology,25,
26,http://www.wikidata.org/entity/Q100417813,,university-teacher,NA,sociology,human-migration,ethnicity,26,
27,http://www.wikidata.org/entity/Q100429076,,NA,NA,NA,NA,NA,27,
28,http://www.wikidata.org/entity/Q100443,,writer,NA,sociology,political-science,journalism,28,
29,http://www.wikidata.org/entity/Q100453304,,university-teacher,NA,anthropology,ethnology,NA,29,
30,http://www.wikidata.org/entity/Q100491140,,university-teacher,NA,sociology,social-policy,NA,30,
31,http://www.wikidata.org/entity/Q100501676,,NA,NA,NA,NA,NA,31,
32,http://www.wikidata.org/entity/Q100516234,,academic,NA,NA,NA,NA,32,
33,http://www.wikidata.org/entity/Q100550045,,university-teacher,NA,sociology,anthropology,NA,33,
34,http://www.wikidata.org/entity/Q100590721,,NA,NA,NA,NA,NA,34,
35,http://www.wikidata.org/entity/Q100590722,,NA,NA,NA,NA,NA,35,
36,http://www.wikidata.org/entity/Q100590845,,university-teacher,NA,sociology,social-pedagogy,NA,36,
37,http://www.wikidata.org/entity/Q100591628,,NA,NA,NA,NA,NA,37,
38,http://www.wikidata.org/entity/Q100597,,historian,NA,sociology,NA,NA,38,
39,http://www.wikidata.org/entity/Q100605021,,university-teacher,NA,sociology,NA,NA,39,
40,http://www.wikidata.org/entity/Q100605042,,university-teacher,NA,sociology,editing,NA,40,
41,http://www.wikidata.org/entity/Q100605172,,university-teacher,NA,sociology,labor-market,NA,41,
42,http://www.wikidata.org/entity/Q100605288,,researcher,NA,sociology,NA,NA,42,
43,http://www.wikidata.org/entity/Q100605311,,researcher,NA,sociology,NA,NA,43,
