person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q2993155,Konstantin Kavelin,1818,male,Saint Petersburg,POINT (30.316667 59.95),European Russia,Russian Federation,Russian Federation,1846-1870,11704,historian,publisher
http://www.wikidata.org/entity/Q555693,Timofey Granovsky,1813,male,Oryol,POINT (36.069444 52.968611),European Russia,Russian Federation,Russian Federation,1846-1870,14217,university-teacher,university
http://www.wikidata.org/entity/Q144535,Herbert Spencer,1820,male,Derby,POINT (-1.476667 52.921667),Northern Europe,United Kingdom,United Kingdom,1846-1870,8360,writer,other
http://www.wikidata.org/entity/Q61956,Lorenz von Stein,1815,male,Borby,POINT (9.83528 54.48),Western Europe,Germany,Germany,1846-1870,15540,university-teacher,agency
http://www.wikidata.org/entity/Q9061,Karl Marx,1818,male,Trier,POINT (6.63935 49.75565),Western Europe,Germany,Germany,1846-1870,17392,writer,newspaper
http://www.wikidata.org/entity/Q179126,John Ruskin,1819,male,London,POINT (-0.1275 51.507222),Northern Europe,United Kingdom,United Kingdom,1846-1870,9514,university-teacher,education
http://www.wikidata.org/entity/Q1195523,Henry James Sumner Maine,1822,male,Kelso,POINT (-2.4336 55.5985),Northern Europe,United Kingdom,United Kingdom,1846-1870,6135,writer,education
http://www.wikidata.org/entity/Q1803058,Roberto Ardigò,1828,male,Casteldidone,POINT (10.4 45.066667),Southern Europe,Italy,Italy,1871-1895,9538,politician,university
http://www.wikidata.org/entity/Q369022,Walter Bagehot,1826,male,Langport,POINT (-2.827453 51.037625),Northern Europe,United Kingdom,United Kingdom,1871-1895,12628,writer,other
http://www.wikidata.org/entity/Q5819554,Eduardo Pérez Pujol,1830,male,Salamanca,POINT (-5.664167 40.965),Southern Europe,Spain,Spain Port.,1871-1895,14791,university-teacher,publisher
http://www.wikidata.org/entity/Q6220990,John Bascom,1827,male,Genoa,POINT (-76.533333 42.666667),Northern America,United States,United States Can.,1871-1895,15586,writer,education
http://www.wikidata.org/entity/Q61674,Friedrich Albert Lange,1828,male,Wald,POINT (7.04222 51.1817),Western Europe,Germany,Germany,1871-1895,15477,university-teacher,publisher
