"pk_person_features","person_uri","occupation_sec1","coded_employer"
1,http://www.wikidata.org/entity/Q1000087,university-teacher,agency
2,http://www.wikidata.org/entity/Q1000348,university-teacher,university
3,http://www.wikidata.org/entity/Q1000622,university-teacher,publisher
9,http://www.wikidata.org/entity/Q1002184,university-teacher,university
14,http://www.wikidata.org/entity/Q100273083,journalist,publisher
18,http://www.wikidata.org/entity/Q100328765,university-teacher,education
20,http://www.wikidata.org/entity/Q100366657,political-scientist,publisher
23,http://www.wikidata.org/entity/Q100400535,university-teacher,education
25,http://www.wikidata.org/entity/Q100415916,psychologist,publisher
26,http://www.wikidata.org/entity/Q100417813,university-teacher,organization
30,http://www.wikidata.org/entity/Q100491140,university-teacher,education
32,http://www.wikidata.org/entity/Q100516234,academic,publisher
33,http://www.wikidata.org/entity/Q100550045,university-teacher,university
39,http://www.wikidata.org/entity/Q100605021,university-teacher,organization
40,http://www.wikidata.org/entity/Q100605042,university-teacher,organization
41,http://www.wikidata.org/entity/Q100605172,university-teacher,organization
42,http://www.wikidata.org/entity/Q100605288,researcher,organization
43,http://www.wikidata.org/entity/Q100605311,researcher,organization
44,http://www.wikidata.org/entity/Q100605346,university-teacher,organization
45,http://www.wikidata.org/entity/Q100605373,researcher,organization
46,http://www.wikidata.org/entity/Q100605425,university-teacher,organization
48,http://www.wikidata.org/entity/Q100605453,political-scientist,organization
49,http://www.wikidata.org/entity/Q100605468,university-teacher,institute
50,http://www.wikidata.org/entity/Q100605488,university-teacher,organization
51,http://www.wikidata.org/entity/Q100642,professor,publisher
53,http://www.wikidata.org/entity/Q100685397,university-teacher,publisher
54,http://www.wikidata.org/entity/Q100699680,statistician,other
55,http://www.wikidata.org/entity/Q100733595,university-teacher,university
56,http://www.wikidata.org/entity/Q100747032,university-teacher,education
57,http://www.wikidata.org/entity/Q100772883,historian,publisher
59,http://www.wikidata.org/entity/Q100793,university-teacher,publisher
61,http://www.wikidata.org/entity/Q100877300,university-teacher,education
62,http://www.wikidata.org/entity/Q100899798,university-teacher,organization
64,http://www.wikidata.org/entity/Q100913229,university-teacher,education
66,http://www.wikidata.org/entity/Q100954769,university-teacher,university
71,http://www.wikidata.org/entity/Q100987652,university-teacher,education
74,http://www.wikidata.org/entity/Q101048388,university-teacher,publisher
75,http://www.wikidata.org/entity/Q101052944,university-teacher,publisher
78,http://www.wikidata.org/entity/Q101102856,pedagogue,publisher
80,http://www.wikidata.org/entity/Q101149176,university-teacher,university
82,http://www.wikidata.org/entity/Q101235,university-teacher,education
83,http://www.wikidata.org/entity/Q101236098,university-teacher,education
84,http://www.wikidata.org/entity/Q101242607,university-teacher,education
85,http://www.wikidata.org/entity/Q101246978,university-teacher,publisher
87,http://www.wikidata.org/entity/Q101349,university-teacher,publisher
90,http://www.wikidata.org/entity/Q101440467,political-scientist,publisher
92,http://www.wikidata.org/entity/Q101497865,university-teacher,publisher
93,http://www.wikidata.org/entity/Q101538600,university-teacher,publisher
97,http://www.wikidata.org/entity/Q101561244,researcher,school
100,http://www.wikidata.org/entity/Q1016356,university-teacher,university
103,http://www.wikidata.org/entity/Q101691603,writer,publisher
104,http://www.wikidata.org/entity/Q101842,university-teacher,agency
105,http://www.wikidata.org/entity/Q101850967,writer,organization
107,http://www.wikidata.org/entity/Q101988,university-teacher,education
113,http://www.wikidata.org/entity/Q102077797,demographer,education
119,http://www.wikidata.org/entity/Q102130613,university-teacher,education
121,http://www.wikidata.org/entity/Q102181,university-teacher,education
125,http://www.wikidata.org/entity/Q102209447,university-teacher,education
131,http://www.wikidata.org/entity/Q1022431,university-teacher,publisher
132,http://www.wikidata.org/entity/Q102243305,university-teacher,publisher
138,http://www.wikidata.org/entity/Q102326141,research-professor,education
143,http://www.wikidata.org/entity/Q102380797,university-teacher,education
144,http://www.wikidata.org/entity/Q102410701,historian,publisher
145,http://www.wikidata.org/entity/Q102434,university-teacher,publisher
146,http://www.wikidata.org/entity/Q102440440,politician,education
147,http://www.wikidata.org/entity/Q102476,university-teacher,university
148,http://www.wikidata.org/entity/Q102495,university-teacher,education
151,http://www.wikidata.org/entity/Q10263971,writer,education
152,http://www.wikidata.org/entity/Q10267663,writer,education
154,http://www.wikidata.org/entity/Q10270660,writer,education
157,http://www.wikidata.org/entity/Q10278387,university-teacher,publisher
158,http://www.wikidata.org/entity/Q102812,political-scientist,education
160,http://www.wikidata.org/entity/Q10285385,writer,publisher
161,http://www.wikidata.org/entity/Q102859199,university-teacher,education
162,http://www.wikidata.org/entity/Q102860680,university-teacher,education
165,http://www.wikidata.org/entity/Q102867711,university-teacher,education
166,http://www.wikidata.org/entity/Q10287853,professor,publisher
170,http://www.wikidata.org/entity/Q10294993,university-teacher,education
172,http://www.wikidata.org/entity/Q10296967,professor,education
177,http://www.wikidata.org/entity/Q1030404,university-teacher,education
181,http://www.wikidata.org/entity/Q10308077,writer,organization
182,http://www.wikidata.org/entity/Q10308228,university-teacher,publisher
184,http://www.wikidata.org/entity/Q10309889,politician,publisher
193,http://www.wikidata.org/entity/Q10314734,economist,university
198,http://www.wikidata.org/entity/Q10320312,political-scientist,education
202,http://www.wikidata.org/entity/Q103218062,university-teacher,education
203,http://www.wikidata.org/entity/Q103224929,university-teacher,education
204,http://www.wikidata.org/entity/Q10324025,university-teacher,university
205,http://www.wikidata.org/entity/Q10325269,university-teacher,other
208,http://www.wikidata.org/entity/Q10325884,teacher,publisher
209,http://www.wikidata.org/entity/Q10325955,university-teacher,publisher
211,http://www.wikidata.org/entity/Q10327679,teacher,publisher
212,http://www.wikidata.org/entity/Q103277833,university-teacher,education
217,http://www.wikidata.org/entity/Q103311,university-teacher,university
222,http://www.wikidata.org/entity/Q10333245,journalist,publisher
229,http://www.wikidata.org/entity/Q10340144,writer,publisher
232,http://www.wikidata.org/entity/Q103445,university-teacher,university
233,http://www.wikidata.org/entity/Q10346501,anthropologist,education
235,http://www.wikidata.org/entity/Q10346891,writer,university
239,http://www.wikidata.org/entity/Q10361287,historian,education
244,http://www.wikidata.org/entity/Q103680,university-teacher,education
245,http://www.wikidata.org/entity/Q1036829,university-teacher,publisher
246,http://www.wikidata.org/entity/Q10370239,university-teacher,publisher
262,http://www.wikidata.org/entity/Q10390357,writer,university
264,http://www.wikidata.org/entity/Q10391661,teacher,education
266,http://www.wikidata.org/entity/Q103921809,translator,publisher
267,http://www.wikidata.org/entity/Q10393022,literary-critic,publisher
269,http://www.wikidata.org/entity/Q1039705,university-teacher,agency
270,http://www.wikidata.org/entity/Q1039736,university-teacher,agency
273,http://www.wikidata.org/entity/Q104013,university-teacher,publisher
275,http://www.wikidata.org/entity/Q104052848,university-teacher,publisher
276,http://www.wikidata.org/entity/Q104053997,politician,agency
278,http://www.wikidata.org/entity/Q104088186,cultural-historian,education
282,http://www.wikidata.org/entity/Q104161626,university-teacher,university
284,http://www.wikidata.org/entity/Q104193124,politician,school
290,http://www.wikidata.org/entity/Q104243467,researcher,publisher
291,http://www.wikidata.org/entity/Q104272,university-teacher,publisher
296,http://www.wikidata.org/entity/Q1044177,university-teacher,publisher
297,http://www.wikidata.org/entity/Q1044238,university-teacher,education
298,http://www.wikidata.org/entity/Q1044263,university-teacher,school
300,http://www.wikidata.org/entity/Q104440720,university-teacher,education
306,http://www.wikidata.org/entity/Q104493814,university-teacher,publisher
309,http://www.wikidata.org/entity/Q104523765,political-scientist,institute
314,http://www.wikidata.org/entity/Q104532419,urban-planner,education
317,http://www.wikidata.org/entity/Q104566213,researcher,organization
318,http://www.wikidata.org/entity/Q1045715,university-teacher,school
319,http://www.wikidata.org/entity/Q104574369,university-teacher,organization
326,http://www.wikidata.org/entity/Q104599,university-teacher,education
329,http://www.wikidata.org/entity/Q104622799,university-teacher,education
335,http://www.wikidata.org/entity/Q104665645,university-teacher,education
341,http://www.wikidata.org/entity/Q1047237,writer,university
344,http://www.wikidata.org/entity/Q104764780,university-teacher,other
345,http://www.wikidata.org/entity/Q104765,university-teacher,university
346,http://www.wikidata.org/entity/Q104771219,university-teacher,other
348,http://www.wikidata.org/entity/Q104781158,university-teacher,education
365,http://www.wikidata.org/entity/Q104895707,university-teacher,university
368,http://www.wikidata.org/entity/Q104903439,research-fellow,university
370,http://www.wikidata.org/entity/Q105028,university-teacher,publisher
374,http://www.wikidata.org/entity/Q105080915,university-teacher,education
375,http://www.wikidata.org/entity/Q105087554,university-teacher,university
379,http://www.wikidata.org/entity/Q105184059,university-teacher,education
380,http://www.wikidata.org/entity/Q1051894,university-teacher,publisher
384,http://www.wikidata.org/entity/Q105226591,university-teacher,institute
385,http://www.wikidata.org/entity/Q105243853,scientist,organization
391,http://www.wikidata.org/entity/Q105306875,university-teacher,education
394,http://www.wikidata.org/entity/Q105312273,economist,organization
401,http://www.wikidata.org/entity/Q105382706,university-teacher,education
402,http://www.wikidata.org/entity/Q105393388,university-teacher,university
404,http://www.wikidata.org/entity/Q105395233,researcher,publisher
406,http://www.wikidata.org/entity/Q105395425,university-teacher,education
414,http://www.wikidata.org/entity/Q105429443,university-teacher,university
417,http://www.wikidata.org/entity/Q105452991,university-teacher,education
422,http://www.wikidata.org/entity/Q105514871,university-teacher,university
423,http://www.wikidata.org/entity/Q105530478,lecturer,publisher
429,http://www.wikidata.org/entity/Q105585396,university-teacher,publisher
430,http://www.wikidata.org/entity/Q105617150,university-teacher,education
432,http://www.wikidata.org/entity/Q105620824,university-teacher,publisher
435,http://www.wikidata.org/entity/Q105646335,university-teacher,publisher
439,http://www.wikidata.org/entity/Q105661,university-teacher,publisher
441,http://www.wikidata.org/entity/Q105672609,university-teacher,education
442,http://www.wikidata.org/entity/Q105674313,lecturer,publisher
455,http://www.wikidata.org/entity/Q105723397,university-teacher,education
458,http://www.wikidata.org/entity/Q105741,university-teacher,university
471,http://www.wikidata.org/entity/Q105799214,university-teacher,education
474,http://www.wikidata.org/entity/Q105816279,university-teacher,education
476,http://www.wikidata.org/entity/Q105822443,academic,education
484,http://www.wikidata.org/entity/Q10585168,university-teacher,education
486,http://www.wikidata.org/entity/Q105876,university-teacher,university
489,http://www.wikidata.org/entity/Q1058961,university-teacher,education
495,http://www.wikidata.org/entity/Q105916051,researcher,education
498,http://www.wikidata.org/entity/Q105945764,university-teacher,organization
500,http://www.wikidata.org/entity/Q105965417,university-teacher,publisher
503,http://www.wikidata.org/entity/Q105972499,scientist,institute
515,http://www.wikidata.org/entity/Q106107416,university-teacher,publisher
516,http://www.wikidata.org/entity/Q106112201,university-teacher,publisher
520,http://www.wikidata.org/entity/Q106122537,political-scientist,education
523,http://www.wikidata.org/entity/Q106161,university-teacher,university
527,http://www.wikidata.org/entity/Q106192224,university-teacher,publisher
530,http://www.wikidata.org/entity/Q106209540,university-teacher,publisher
531,http://www.wikidata.org/entity/Q106215513,university-teacher,publisher
535,http://www.wikidata.org/entity/Q106259127,university-teacher,education
536,http://www.wikidata.org/entity/Q106261,university-teacher,agency
538,http://www.wikidata.org/entity/Q106282626,university-teacher,education
541,http://www.wikidata.org/entity/Q106322831,university-teacher,university
546,http://www.wikidata.org/entity/Q1063509,university-teacher,education
550,http://www.wikidata.org/entity/Q106359481,university-teacher,organization
552,http://www.wikidata.org/entity/Q106366589,journalist,newspaper
553,http://www.wikidata.org/entity/Q106369203,lawyer,publisher
560,http://www.wikidata.org/entity/Q106414886,researcher,publisher
564,http://www.wikidata.org/entity/Q106439277,media-scholar,education
570,http://www.wikidata.org/entity/Q106466446,university-teacher,education
571,http://www.wikidata.org/entity/Q106466625,university-teacher,organization
580,http://www.wikidata.org/entity/Q106547154,university-teacher,university
583,http://www.wikidata.org/entity/Q1065595,writer,organization
584,http://www.wikidata.org/entity/Q106563980,researcher,publisher
586,http://www.wikidata.org/entity/Q106574160,jurist,publisher
588,http://www.wikidata.org/entity/Q106579542,university-teacher,education
589,http://www.wikidata.org/entity/Q1065810,university-teacher,education
590,http://www.wikidata.org/entity/Q1065856,university-teacher,education
591,http://www.wikidata.org/entity/Q106594470,professor,education
592,http://www.wikidata.org/entity/Q106595571,university-teacher,organization
593,http://www.wikidata.org/entity/Q106595572,university-teacher,university
594,http://www.wikidata.org/entity/Q1065979,university-teacher,education
596,http://www.wikidata.org/entity/Q106603629,university-teacher,university
603,http://www.wikidata.org/entity/Q106615408,university-teacher,education
604,http://www.wikidata.org/entity/Q106615819,university-teacher,education
608,http://www.wikidata.org/entity/Q106629777,university-teacher,education
611,http://www.wikidata.org/entity/Q106638409,university-teacher,academy
612,http://www.wikidata.org/entity/Q106638442,university-teacher,academy
615,http://www.wikidata.org/entity/Q106641226,university-teacher,publisher
616,http://www.wikidata.org/entity/Q106642011,university-teacher,institute
622,http://www.wikidata.org/entity/Q106690802,urban-sociologist,education
625,http://www.wikidata.org/entity/Q106698071,university-teacher,publisher
628,http://www.wikidata.org/entity/Q106726964,university-teacher,education
632,http://www.wikidata.org/entity/Q106803116,university-teacher,publisher
633,http://www.wikidata.org/entity/Q106804830,university-teacher,publisher
634,http://www.wikidata.org/entity/Q106832794,political-scientist,education
637,http://www.wikidata.org/entity/Q106854777,editing-staff,institute
638,http://www.wikidata.org/entity/Q106862463,university-teacher,education
639,http://www.wikidata.org/entity/Q106878850,university-teacher,education
642,http://www.wikidata.org/entity/Q106908284,university-teacher,education
643,http://www.wikidata.org/entity/Q106917258,university-teacher,education
644,http://www.wikidata.org/entity/Q106917391,university-teacher,education
645,http://www.wikidata.org/entity/Q106917577,university-teacher,education
649,http://www.wikidata.org/entity/Q106962378,politician,publisher
652,http://www.wikidata.org/entity/Q106983084,researcher,publisher
