"person_uri","organisation_uri","organisation_label","relationship"
http://www.wikidata.org/entity/Q1000087,http://www.wikidata.org/entity/Q23785357,Burschenschaft Germania Erlangen,membership
http://www.wikidata.org/entity/Q1000087,http://www.wikidata.org/entity/Q50662,Goethe University Frankfurt,employment
http://www.wikidata.org/entity/Q1000348,http://www.wikidata.org/entity/Q696757,University of Duisburg-Essen,employment
http://www.wikidata.org/entity/Q1000622,http://www.wikidata.org/entity/Q1125966,Hungarian Central Statistical Office,employment
http://www.wikidata.org/entity/Q1000622,http://www.wikidata.org/entity/Q265058,Hungarian Academy of Sciences,membership
http://www.wikidata.org/entity/Q1000622,http://www.wikidata.org/entity/Q337234,Academia Europaea,membership
http://www.wikidata.org/entity/Q1000622,http://www.wikidata.org/entity/Q390287,Eötvös Loránd University,employment
http://www.wikidata.org/entity/Q1000622,http://www.wikidata.org/entity/Q851164,Corvinus University of Budapest,education
http://www.wikidata.org/entity/Q100146726,http://www.wikidata.org/entity/Q273518,School for Advanced Studies in the Social Sciences,education
http://www.wikidata.org/entity/Q100146726,http://www.wikidata.org/entity/Q829449,Marie and Louis Pasteur University,employment
http://www.wikidata.org/entity/Q100156655,http://www.wikidata.org/entity/Q1230739,University of Texas at Arlington,employment
http://www.wikidata.org/entity/Q100156655,http://www.wikidata.org/entity/Q13371,Harvard University,education
http://www.wikidata.org/entity/Q100156655,http://www.wikidata.org/entity/Q4823037,Austin College,education
http://www.wikidata.org/entity/Q100156655,http://www.wikidata.org/entity/Q7005306,New America,employment
http://www.wikidata.org/entity/Q100156655,http://www.wikidata.org/entity/Q812573,Baylor University,employment
http://www.wikidata.org/entity/Q1002184,http://www.wikidata.org/entity/Q1115639,Franz Joseph University,employment
http://www.wikidata.org/entity/Q100273083,http://www.wikidata.org/entity/Q12886330,Czech News Center,employment
http://www.wikidata.org/entity/Q100273083,http://www.wikidata.org/entity/Q230492,University of Michigan,education
http://www.wikidata.org/entity/Q100273083,http://www.wikidata.org/entity/Q763586,Masaryk University,education
http://www.wikidata.org/entity/Q100318551,http://www.wikidata.org/entity/Q10279509,Faculty of Arts and Humanities of the University of Porto,employment
http://www.wikidata.org/entity/Q100318551,http://www.wikidata.org/entity/Q10279510,School of Arts and Humanities of the University of Lisbon,employment
http://www.wikidata.org/entity/Q100318551,http://www.wikidata.org/entity/Q1422903,University of Porto,education
http://www.wikidata.org/entity/Q100318551,http://www.wikidata.org/entity/Q15752788,City and Society,employment
http://www.wikidata.org/entity/Q100318551,http://www.wikidata.org/entity/Q2502584,Paris Institute of Statistics,employment
http://www.wikidata.org/entity/Q100318551,http://www.wikidata.org/entity/Q2886844,ISCTE – Lisbon University Institute,education
http://www.wikidata.org/entity/Q100318551,http://www.wikidata.org/entity/Q2886844,ISCTE – Lisbon University Institute,employment
http://www.wikidata.org/entity/Q100318551,http://www.wikidata.org/entity/Q74536103,Centro de Investigação e Estudos de Sociologia,employment
http://www.wikidata.org/entity/Q100328765,http://www.wikidata.org/entity/Q10302792,Instituto de Ciências Sociais da Universidade de Lisboa,employment
http://www.wikidata.org/entity/Q100328765,http://www.wikidata.org/entity/Q10318248,League of Unity and Armed Revolution,membership
http://www.wikidata.org/entity/Q100328765,http://www.wikidata.org/entity/Q2886844,ISCTE – Lisbon University Institute,education
http://www.wikidata.org/entity/Q100328765,http://www.wikidata.org/entity/Q2886844,ISCTE – Lisbon University Institute,employment
http://www.wikidata.org/entity/Q1003573,http://www.wikidata.org/entity/Q165980,University of Vienna,education
http://www.wikidata.org/entity/Q100366657,http://www.wikidata.org/entity/Q200601,Pontifical Catholic University of Peru,education
http://www.wikidata.org/entity/Q100366657,http://www.wikidata.org/entity/Q200601,Pontifical Catholic University of Peru,employment
http://www.wikidata.org/entity/Q100400535,http://www.wikidata.org/entity/Q5018694,Montclair State University,employment
http://www.wikidata.org/entity/Q100400535,http://www.wikidata.org/entity/Q896267,Boğaziçi University,education
http://www.wikidata.org/entity/Q100400535,http://www.wikidata.org/entity/Q969850,Stony Brook University,education
http://www.wikidata.org/entity/Q100401228,http://www.wikidata.org/entity/Q200601,Pontifical Catholic University of Peru,education
http://www.wikidata.org/entity/Q100415916,http://www.wikidata.org/entity/Q154804,Leipzig University,employment
http://www.wikidata.org/entity/Q100417813,http://www.wikidata.org/entity/Q734764,University of New South Wales,education
