labelPer_x,labelPer_y,periodsActivity_x,periodsActivity_y,sum_edu_empl,sum_all_rel,orgs_number_edu,orgs_labels_edu,orgs_number_empl,orgs_labels_empl,orgs_number_memb,orgs_labels_memb,person_uri_x,person_uri_y
Clyde Kluckhohn,George C. Homans,1946-1970,1946-1970,2,5,1,Harvard University,1,Harvard University,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1103678,http://www.wikidata.org/entity/Q163171
Clyde Kluckhohn,Kingsley Davis,1946-1970,1946-1970,1,4,1,Harvard University,0,,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1103678,http://www.wikidata.org/entity/Q1738478
Clyde Kluckhohn,Samuel A. Stouffer,1946-1970,1921-1945,2,4,1,Harvard University,1,Harvard University,2,American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q1103678,http://www.wikidata.org/entity/Q2217894
Clyde Kluckhohn,Robert K. Merton,1946-1970,1946-1970,1,4,1,Harvard University,0,,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1103678,http://www.wikidata.org/entity/Q312843
Clyde Kluckhohn,Shmuel Eisenstadt,1946-1970,1946-1970,1,4,0,,1,Harvard University,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1103678,http://www.wikidata.org/entity/Q677793
Clyde Kluckhohn,Charles Tilly,1946-1970,1971-1995,1,4,0,,1,Harvard University,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1103678,http://www.wikidata.org/entity/Q717635
Clyde Kluckhohn,Karl Deutsch,1946-1970,1946-1970,2,4,1,Harvard University,1,Harvard University,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1103678,http://www.wikidata.org/entity/Q77454
William Julius Wilson,Theda Skocpol,1971-1995,1971-1995,2,5,0,,2,University of Chicago|Harvard University,3,National Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q130064
William Julius Wilson,Harrison White,1971-1995,1971-1995,2,4,0,,2,University of Chicago|Harvard University,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q1586301
William Julius Wilson,James Samuel Coleman,1971-1995,1971-1995,1,4,0,,1,University of Chicago,3,National Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q1681079
